X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,Phase
-0.00132284,2.717e-05,0.00023053,-0.00024424,-0.00029303,-2.121e-05,-0.0007702,9.21e-06,0.00013749,-0.00077018,-0.00084862,2.474e-05,3.336e-05,-1.343e-05,-7.7e-07,3.93e-06,-4.89e-06,-9e-08,2.064e-05,-1.483e-05,5.8e-07,2.114e-05,1.279e-05,-2.07e-06,0.00134305,0.00038206,0.00078243,0.00114627,3.597e-05,6.27e-06,2.543e-05,2.48e-05,S
0.01086671,-0.01996934,0.00243419,0.0037102,-0.00217173,-0.00031398,0.0063532,-0.01238113,0.00183311,0.00260467,-0.00013761,-0.00013321,-0.0003477,-0.00258253,-9.755e-05,-3.957e-05,0.00057678,-1.446e-05,0.00063844,-0.00257269,0.00026161,0.00025281,0.00027381,-6.88e-05,0.0228645,0.00431052,0.01403623,0.00261171,0.00260765,0.00057832,0.0026636,0.00037897,S
6.59e-06,-0.00627027,-0.0010257,-0.00228439,-0.00415903,0.00019108,0.00591833,-0.00169043,-0.00079264,-0.00280031,0.000767,0.00102101,-0.00014671,0.00121301,0.00023654,-0.00014264,0.00335963,0.00074842,0.00209537,0.00100545,0.00012716,-0.00625868,0.00333435,0.00089902,0.00635362,0.00474894,0.00620584,0.00307774,0.00124453,0.00344494,0.00232759,0.00714823,H
-0.00139343,0.00131787,0.00024687,-0.00411888,-0.01419489,0.00167119,-0.00073974,0.00524276,7.807e-05,-0.0010183,-0.01269338,0.00057771,-0.00062652,0.0008004,-1.59e-06,-0.0011383,-0.00182081,0.00037702,-0.0005466,0.00089045,-9.22e-06,-0.00032371,-0.00143617,7.943e-05,0.00193375,0.01487458,0.00529526,0.01274726,0.00101646,0.00218019,0.00104487,0.00147435,P
-1.902e-05,0.00030084,-0.00282995,0.01175631,-0.01706824,-0.03201905,-0.00010136,0.00024276,-0.00216332,0.00866186,-0.01437421,-0.02354245,-3.482e-05,-0.00012207,-7.449e-05,-0.00068611,0.00237218,0.00255091,4.91e-06,-0.00024946,0.00029279,0.00029379,0.00241626,0.00049088,0.00284595,0.03814125,0.00217925,0.02891181,0.00014718,0.00355037,0.00038468,0.00248306,H
-0.03058818,0.00297991,0.00072611,-0.00077147,-0.00575202,0.00030444,-0.00601397,0.00198233,-0.00138545,-0.00044782,-0.00376696,0.00020004,0.00109703,-0.00014647,-4.228e-05,-1.73e-05,-1.836e-05,-9.7e-07,-0.00033983,0.00011761,-9.402e-05,-1.082e-05,-3.233e-05,1.06e-06,0.03074157,0.0058115,0.00648205,0.00379876,0.00110757,2.525e-05,0.0003717,3.411e-05,R
0.00531704,0.01344246,0.00065996,-0.00261284,0.01006368,-0.00144303,-0.00407015,0.01396524,2.589e-05,-0.00337708,0.01158559,-0.00228403,0.00293977,0.00530406,0.00025199,-0.00044911,0.00227555,0.00077064,0.00013448,0.00496652,0.00058896,-0.00026249,0.00376734,0.00012938,0.01447087,0.010497,0.0145463,0.01228199,0.0060695,0.00244412,0.00500313,0.00377869,S
-0.00198454,-0.00027907,3.833e-05,7.29e-05,0.00034662,7.113e-05,0.00127632,0.00059183,1.889e-05,6.318e-05,0.00034621,6.935e-05,-0.0004533,-0.00012125,2.31e-06,-0.000252,-0.00011808,2.27e-06,-0.00028762,2.05e-06,3.414e-05,-0.00025168,-0.00011992,2.39e-06,0.00200443,0.00036128,0.00140698,0.0003587,0.00046924,0.0002783,0.00028965,0.0002788,D
0.00075329,0.00049467,0.00020779,-0.00019586,2.915e-05,3.174e-05,0.00090671,-0.00055654,6.913e-05,-0.0001614,0.00017566,3.31e-05,-7.437e-05,0.00012226,4.526e-05,-4.036e-05,-8.743e-05,6.38e-06,2.55e-05,-3.087e-05,4.137e-05,-3.823e-05,-7.706e-05,5.41e-06,0.00092484,0.00020054,0.00106613,0.00024084,0.00015008,9.651e-05,5.757e-05,8.619e-05,D
-0.01037733,-0.015533,0.00144889,0.01252392,-0.01418269,0.00154448,-0.00890975,-0.01159095,0.00134998,0.01040348,-0.01053557,0.00125702,0.00052718,-0.00042332,-5.027e-05,-0.0005331,-0.00021365,2.462e-05,0.00056354,-0.00046475,-4.663e-05,-0.00043123,-0.00038033,1.767e-05,0.01873666,0.01898375,0.01468183,0.0148597,0.00067798,0.00057484,0.00073194,0.00057526,P
