Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
CHC,NL,1967,702,624,87,0.316,0.37799999999999995,0.251,0,,,162,,
MIL,NL,2007,801,776,83,0.32899999999999996,0.456,0.262,0,,,162,0.33299999999999996,0.42200000000000004
DET,AL,1977,714,751,74,0.318,0.41,0.264,0,,,162,,
KCR,AL,1987,715,691,83,0.32799999999999996,0.41200000000000003,0.262,0,,,162,,
HOU,NL,2012,583,794,55,0.302,0.371,0.23600000000000002,0,,,162,0.337,0.42700000000000005
NYM,NL,2005,722,648,83,0.322,0.41600000000000004,0.258,0,,,162,0.321,0.387
CIN,NL,2009,673,723,78,0.318,0.39399999999999996,0.247,0,,,162,0.33299999999999996,0.418
SDP,NL,1987,668,763,65,0.332,0.37799999999999995,0.26,0,,,162,,
HOU,NL,2006,735,719,82,0.332,0.409,0.255,0,,,162,0.319,0.42100000000000004
STL,NL,1990,599,698,70,0.32,0.358,0.256,0,,,162,,
CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,,
ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,,
BOS,AL,1997,851,857,78,0.35200000000000004,0.46299999999999997,0.29100000000000004,0,,,162,,
PHI,NL,1966,696,640,87,0.322,0.37799999999999995,0.258,0,,,162,,
BAL,AL,1974,659,612,91,0.322,0.37,0.256,1,2,3,162,,
KCR,AL,2003,836,867,83,0.336,0.42700000000000005,0.27399999999999997,0,,,162,0.348,0.45
TEX,AL,2008,901,967,79,0.354,0.462,0.28300000000000003,0,,,162,0.36200000000000004,0.455
CHW,AL,2003,791,715,86,0.331,0.446,0.263,0,,,162,0.322,0.40399999999999997
DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,,
BOS,AL,1982,753,713,89,0.34,0.40700000000000003,0.27399999999999997,0,,,162,,
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1,2,159,,
HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,,
STL,NL,1975,662,689,82,0.327,0.375,0.273,0,,,163,,
CHC,NL,1974,669,826,66,0.327,0.365,0.251,0,,,162,,
CHW,AL,1992,738,690,86,0.336,0.38299999999999995,0.261,0,,,162,,
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.35200000000000004,0.449
LAD,NL,1992,548,636,63,0.313,0.33899999999999997,0.248,0,,,162,,
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.43700000000000006
MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,,
MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,,
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,
BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2,2,162,,
STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,,
PIT,NL,1968,583,532,80,0.306,0.34299999999999997,0.252,0,,,163,,
CHW,AL,2006,868,794,90,0.342,0.46399999999999997,0.28,0,,,162,0.326,0.44
CHW,AL,1989,693,750,69,0.32799999999999996,0.38299999999999995,0.271,0,,,161,,
CAL,AL,1966,604,643,80,0.303,0.354,0.23199999999999998,0,,,162,,
SDP,NL,1997,795,891,76,0.342,0.40700000000000003,0.271,0,,,162,,
LAD,NL,1975,648,534,88,0.325,0.365,0.248,0,,,162,,
LAD,NL,1979,739,717,79,0.331,0.41200000000000003,0.263,0,,,162,,
ATL,NL,2004,803,668,96,0.34299999999999997,0.434,0.27,1,4,4,162,0.32899999999999996,0.4
COL,NL,1997,923,908,83,0.35700000000000004,0.478,0.28800000000000003,0,,,162,,
TEX,AL,2003,826,969,71,0.33,0.45399999999999996,0.266,0,,,162,0.36,0.473
BOS,AL,1975,796,709,95,0.344,0.41700000000000004,0.275,1,3,2,160,,
BOS,AL,1971,691,667,85,0.322,0.397,0.252,0,,,162,,
MIN,AL,1974,673,669,82,0.336,0.37799999999999995,0.272,0,,,163,,
PIT,NL,1996,776,833,73,0.32899999999999996,0.40700000000000003,0.266,0,,,162,,
CHW,AL,1991,758,681,87,0.336,0.391,0.262,0,,,162,,
CHW,AL,1971,617,597,79,0.325,0.373,0.25,0,,,162,,
CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,,
HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,,
SFG,NL,1998,845,739,89,0.353,0.42100000000000004,0.27399999999999997,0,,,163,,
TEX,AL,2000,848,974,71,0.35200000000000004,0.446,0.28300000000000003,0,,,162,0.369,0.475
CAL,AL,1977,675,695,74,0.324,0.386,0.255,0,,,162,,
OAK,AL,1998,804,866,74,0.33799999999999997,0.397,0.257,0,,,162,,
OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,,
CLE,AL,1976,615,615,81,0.321,0.359,0.263,0,,,159,,
FLA,NL,2005,717,732,83,0.33899999999999997,0.409,0.272,0,,,162,0.33899999999999997,0.402
SDP,NL,1991,636,646,84,0.31,0.36200000000000004,0.244,0,,,162,,
