CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
255.0,0.0,0.0,192.0,0.0,889.8,845.0,3,32.4
397.0,0.0,0.0,192.0,0.0,940.6,785.6,7,18.2
212.5,0.0,121.6,172.3,8.7,1043.6,759.3,100,44.52
339.0,0.0,158.0,196.0,10.6,949.0,784.0,28,22.93
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.5
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,15.58
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,7,30.65
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,21.91
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,12.18
139.6,209.4,0.0,192.0,0.0,1047.0,749.1,90,46.24
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,21.97
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,36.45
540.0,0.0,0.0,173.0,3.0,1125.0,613.0,28,15.57
288.4,121.0,0.0,177.4,7.0,908.0,829.5,28,17.2
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,42.29
281.4,0.0,78.4,176.5,10.8,819.0,753.5,7,41.05
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,11.48
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,33.05
212.0,0.0,121.6,159.0,5.8,1043.6,754.3,3,15.53
252.0,0.0,0.0,146.0,0.0,1000.0,828.0,28,32.01
304.0,0.0,78.0,195.0,9.0,895.0,712.0,3,9.13
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,29.73
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,32.01
313.3,262.2,0.0,179.8,8.6,1046.9,611.8,28,47.03
359.4,19.6,79.0,162.6,9.6,1014.3,712.2,28,47.22
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,14.94
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,43.25
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,11.39
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,90,43.58
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.18
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,25.08
310.0,0.0,0.0,192.0,0.0,970.0,850.0,3,20.08
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,21.91
252.3,151.2,0.0,185.7,0.0,1134.3,703.7,3,8.37
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,72.99
156.0,243.0,0.0,180.0,8.0,1069.0,656.0,28,49.97
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,49.2
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,19.93
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,29.0
