CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,26.92
250.0,0.0,0.0,192.0,0.0,978.0,825.0,7,22.32
150.0,142.5,0.0,194.7,6.7,973.4,674.0,28,29.65
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,33.8
380.0,95.0,0.0,228.0,0.0,932.0,594.0,3,21.75
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,37.17
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,39.42
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7,16.89
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.93
288.0,192.0,0.0,192.0,0.0,932.0,721.0,28,45.84
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,71.3
277.2,97.8,95.7,160.6,11.2,973.9,875.6,3,21.82
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,54.28
480.0,0.0,0.0,192.0,0.0,936.2,721.0,120,39.84
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,33.8
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,17.57
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,21.07
290.4,0.0,0.0,195.2,3.1,859.2,827.6,28,47.4
135.0,162.0,126.0,172.0,10.0,923.0,764.0,28,36.45
198.6,132.4,0.0,192.0,0.0,978.4,825.5,91,66.82
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,41.05
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,9.13
200.0,0.0,0.0,192.0,0.0,965.4,839.2,3,13.36
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,20.87
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,39.59
152.0,0.0,111.0,195.0,6.0,877.0,697.0,28,25.37
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,17.34
