@relation auto-sklearn_ALGORITHM_RUNS

@attribute instance_id STRING
@attribute repetition NUMERIC
@attribute algorithm STRING
@attribute accuracy NUMERIC
@attribute runstatus {ok, timeout, memout, not_applicable, crash, other}

@data
amazon-commerce-reviews,1,0,0.7833333333333333,ok
analcatdata_authorship,1,1,1.0,ok
analcatdata_fraud,1,2,0.5555555555555556,ok
AP_Colon_Kidney,1,3,0.9545454545454546,ok
artificial-characters,1,4,0.9016634050880626,ok
Australian,1,5,0.855072463768116,ok
autoUniv-au1-1000,1,6,0.76,ok
balance-scale,1,7,0.944,ok
banana,1,8,0.8943396226415095,ok
banknote-authentication,1,9,1.0,ok
blood-transfusion-service-center,1,10,0.8333333333333334,ok
breast-tissue,1,11,0.6363636363636364,ok
cardiotocography,1,12,1.0,ok
cars1,1,13,0.8354430379746836,ok
churn,1,14,0.961,ok
cleve,1,15,0.819672131147541,ok
cleveland-nominal,1,16,0.639344262295082,ok
climate-model-simulation-crashes,1,17,0.8796296296296297,ok
cmc,1,18,0.5491525423728814,ok
cnae-9,1,19,0.9444444444444444,ok
confidence,1,20,0.8,ok
connect-4,1,21,0.7793072824156305,ok
corral,1,22,0.96875,ok
diabetes,1,23,0.7337662337662337,ok
dna,1,24,0.963949843260188,ok
eating,1,25,0.1428571428571428,ok
eeg-eye-state,1,26,0.6351802403204272,ok
electricity-normalized,1,27,0.8977159880834161,ok
elusage,1,28,0.9090909090909092,ok
first-order-theorem-proving,1,29,0.6315359477124183,ok
flare,1,30,0.6869158878504673,ok
fri_c0_500_25,1,31,0.79,ok
gas-drift,1,32,0.9953271028037384,ok
GesturePhaseSegmentationProcessed,1,33,0.689620253164557,ok
gina_agnostic,1,34,0.9351585014409222,ok
haberman,1,35,0.7903225806451613,ok
har,1,36,0.9815533980582524,ok
heart-statlog,1,37,0.8148148148148148,ok
hill-valley,1,38,0.9670781893004116,ok
iris,1,39,0.9333333333333332,ok
isolet,1,40,0.9493589743589744,ok
jungle_chess_2pcs_raw_endgame_complete,1,41,0.8283132530120482,ok
kc1,1,42,0.8483412322274881,ok
kc2,1,43,0.8571428571428571,ok
KDDCup09_upselling,1,44,0.94,ok
LED-display-domain-7digit,1,45,0.84,ok
letter,1,46,0.967,ok
madelon,1,47,0.8211538461538461,ok
MagicTelescope,1,48,0.794689800210305,ok
mfeat-factors,1,49,0.96,ok
mfeat-fourier,1,50,0.8325,ok
mfeat-karhunen,1,51,0.9575,ok
mfeat-morphological,1,52,0.7325,ok
mfeat-pixel,1,53,0.955,ok
mfeat-zernike,1,54,0.7975,ok
micro-mass,1,55,0.9391304347826088,ok
mnist_784,1,56,0.9537142857142856,ok
mom,1,57,1.0,ok
monks-problems-1,1,58,0.9910714285714286,ok
monks-problems-2,1,59,0.8925619834710744,ok
monks-problems-3,1,60,1.0,ok
mozilla4,1,61,0.9533612093920876,ok
nomao,1,62,0.943711011170753,ok
numerai28.6,1,63,0.5229443521594684,ok
nursery,1,64,0.9907407407407408,ok
one-hundred-plants-margin,1,65,0.796875,ok
one-hundred-plants-shape,1,66,0.61875,ok
one-hundred-plants-texture,1,67,0.85625,ok
optdigits,1,68,0.9813167259786476,ok
OVA_Breast,1,69,0.9741100323624596,ok
OVA_Ovary,1,70,0.919093851132686,ok
OVA_Uterus,1,71,0.9158576051779936,ok
ozone-level-8hr,1,72,0.9329388560157792,ok
