@RELATION auto-sklearn_FEATURE_VALUES

@attribute instance_id string
@attribute repetition real
@attribute conceptvar_sd real
@attribute lsc real
@attribute freq_class_sd real
@attribute n3_mean real
@attribute nr_cor_attr real
@attribute f1_mean real
@attribute c2 real
@attribute f4_mean real
@attribute n1 real
@attribute l1_mean real
@attribute best_node_mean real
@attribute linear_discr_mean real
@attribute leaves_per_class_mean real
@attribute nr_class real
@attribute freq_class_mean real
@attribute elite_nn_mean real
@attribute conceptvar_mean real
@attribute l2_mean real
@attribute f1v_mean real
@attribute nre real
@attribute random_node_mean real
@attribute worst_node_mean real
@attribute l3_mean real
@attribute class_ent real

@data
qsar-biodeg,1.0,0.1422031223133377,0.9902392129556838,0.22989348430993914,0.15924170616113745,0.05691056910569105,0.9521596148894348,0.19119441866814452,0.6644549763033175,0.2710900473933649,0.08786383099735827,0.7404043126684636,0.8482300089847261,0.5,2.0,0.5,0.7004761904761905,0.4459669411003441,0.1080568720379147,0.18548667619247305,0.6393233359530519,0.6625696316262355,0.6625696316262355,0.12511848341232226,0.9223486063040568
rabe_97,1.0,0.14678003465616118,0.7802457466918715,0.061487546190134565,0.08695652173913042,0.2,0.7848535645997192,0.01500938086303938,0.0,0.17391304347826084,0.008930298284578586,0.7300000000000001,0.93,0.5,2.0,0.5,0.465,0.33082492437347616,0.04347826086956519,0.09437986555849824,0.6893616831435102,0.79,0.5900000000000001,0.10869565217391307,0.9945386816500112
rabe_176,1.0,0.05141015419801962,0.9640816326530612,0.0,0.4142857142857143,0.30000000000000004,0.9204562648123988,0.0,0.8428571428571429,0.6571428571428571,0.18997543903033126,0.6714285714285715,0.6285714285714286,0.5,2.0,0.5,0.5142857142857143,0.4924600371213328,0.2857142857142857,0.6555001698831683,0.6931471805599453,0.6428571428571428,0.6714285714285714,0.2,1.0
satimage,1.0,0.06989559284045402,0.9778819878630738,0.06781240913522704,0.09471228615863142,0.4864864864864865,0.33228745172778656,0.03232934798278153,0.15085619052139465,0.1578538102643857,0.0222599228325364,0.4248833592534992,0.839035769828927,0.16666666666666666,6.0,0.16666666666666666,0.5177293934681182,0.7609381815691296,0.02720133538413365,0.059439289495208686,1.7213352826911057,0.4180404354587869,0.4139968895800933,0.02143887030575261,2.4833618760456604
seeds,1.0,0.07567257029739502,0.8875736961451247,0.0,0.057142857142857134,0.5357142857142857,0.3182269381394485,0.0,0.0,0.1238095238095238,0.00865540170215473,0.6523809523809524,0.9666666666666668,0.3333333333333333,3.0,0.3333333333333333,0.6190476190476191,0.5322775776822156,0.014285714285714271,0.04198678143236114,1.0986122886681096,0.5142857142857142,0.580952380952381,0.016666666666666646,1.584962500721156
segment,1.0,0.03458039695056162,0.9549671108112666,2.9979448083323847e-17,0.025974025974025976,0.2,0.0,-2.220446049250313e-16,0.022077922077922082,0.08008658008658008,0.005342592812210121,0.28528138528138525,0.9173160173160172,0.14285714285714282,7.0,0.14285714285714282,0.6445887445887446,0.8084159228677094,0.006926406926406929,0.02158985867975417,1.945910149055314,0.28528138528138525,0.18571428571428567,0.014430014430014428,2.807354922057604
semeion,1.0,0.04458305851547762,0.9899927058470258,0.001291592329944422,0.08286252354048965,0.017144941634241247,0.8116709841001724,1.8518615283236173e-05,0.1832013483096396,0.1864406779661017,0.0,0.1920990566037736,0.883242924528302,0.1,10.0,0.1,0.15945754716981134,0.8215864771097344,0.0,0.003452969741379729,2.3025098136054685,0.11990959119496855,0.16889150943396225,0.0,3.3218194896867805
sick,1.0,0.2077544331413181,0.9790327990247952,0.6204993228333702,0.05885471898197243,0.02528735632183908,0.0,0.8700812783184808,0.8382820784729587,0.09968186638388124,0.03290787693144248,0.9655361879499812,0.9541324575807334,0.5,2.0,0.5,0.9398095518785174,0.11743509789195555,0.040562036055143184,0.17730315613389006,0.2303678505246139,0.9387597715183922,0.9387597715183922,0.1068398727465536,0.3323505555321105
soybean,1.0,0.08588774996040596,0.9736885542853101,0.044235846872024816,0.11273792093704245,0.17142857142857146,0.32345157337383057,0.03990657888247119,0.005831975202121881,0.2430453879941435,0.0013537666813965119,0.24021739130434785,0.8902600170502983,0.05263157894736842,19.0,0.05263157894736842,0.2386189258312021,0.8642751280458112,0.0019011143903292305,0.0147641247948584,2.658571545524512,0.16698635976129586,0.18595481670929245,0.0018337389670435391,3.835507984576721
breast-tissue,1.0,0.14296469456168034,0.9774830900676398,0.14543812679053053,0.5188679245283019,0.0,0.8696873723062475,0.12326074238671758,0.0,0.6981132075471698,0.07112741429530373,0.4354545454545454,0.5390909090909091,0.25,4.0,0.25,0.3963636363636364,0.6705377620322672,0.0983400402414487,0.16856680353685516,1.271138128186509,0.4627272727272728,0.41454545454545455,0.0939116178552798,1.833864673819556
